Название,Перевод,Описание,Единицы измерения,
track_id,Номер маршрута,Порядковый номер точки,-,
point_id,Номер точки,Порядковый номер машрута,-,
time,Время,Время в которое была пройдена точка,-,
latitude,Широта,Координата точки,-,
longitude,Долгота,Координата точки,-,
elevation,Высота,"Высота, на которой находится точка",Метры,
steps,Шаги,Пройденной растояние в шагах от одной точки до другой,-,
cluster,Кластеры,Каждая точка разделена на кластеры по схожести,-,
country,Страна,"Страна, в которой рассположена точка",-,
place_type,Тип местности,"Тип местности, вокруг точки в радиусе 500 метров",-,
