,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
0,86273129,500000000,4,2.1,6.9,0.0,0,63546766,4949507,3158756,2122183,12495915,0
1,37276732,500000000,4,1.8,3.6,0.0,0,28339753,2164478,1253185,809821,4709492,0
2,26663595,100000000,4,1.5,3.2,0.0,0,18777988,1812094,1050600,713912,4308998,0
3,17971552,100000000,4,1.4,4.4,0.0,0,13018610,1552950,774012,406184,2219794,0
4,14464235,500000000,4,0.8,1.5,0.0,0,9827328,2124154,1047741,380670,1084340,0
5,13572148,100000000,4,2.0,4.0,0.0,0,10501443,1274162,517273,268489,1010778,0
6,11936964,100000000,3,1.8,5.6,0.0,0,5954262,1041297,853099,719378,3368926,0
7,9633929,500000000,4,0.3,0.8,0.0,0,6579369,991341,614643,349003,1099571,0
8,7578630,100000000,4,1.0,2.5,0.0,0,5382545,500696,351523,238986,1104879,0
9,6268377,100000000,4,0.4,1.0,0.0,0,4509647,605510,319332,167792,666094,0
10,5681934,100000000,4,0.2,0.5,0.0,0,3866308,527159,326294,186593,775578,0
11,5471344,100000000,4,2.0,4.1,0.0,0,4319351,514574,229990,98901,308525,0
12,4801658,50000000,4,3.0,7.6,0.0,0,3884644,365380,135150,65422,351059,0
13,4710639,100000000,4,1.3,4012.8,0.0,0,3581634,397794,200800,116460,413948,0
14,4564398,50000000,4,1.0,2.7,0.0,0,3142312,386513,204843,111645,719082,0
15,4496723,100000000,4,0.5,1.0,0.0,0,3497817,518453,223009,72115,185328,0
16,4464668,100000000,4,0.1,0.2,0.0,0,3379550,576816,234463,68644,205194,0
17,4221389,50000000,3,692.7,0.6,0.0,0,2634036,450688,267931,164087,704645,0
18,4215808,50000000,4,0.5,1.2,0.0,0,2874353,457806,254154,136153,493340,0
19,4159837,50000000,4,0.7,1.6,0.0,0,3073534,463932,205166,103198,314004,0
20,4112075,100000000,3,0.2,0.3,0.0,0,2493810,428315,289428,156522,743997,0
21,3987062,100000000,4,0.0,0.0,0.0,0,2776350,614755,242698,81199,272058,0
22,3516024,100000000,4,0.5,1.0,0.0,0,2419540,421218,214049,100008,361206,0
23,3213257,100000000,4,1.0,2.3,0.0,0,2174466,265019,189630,118612,465528,0
24,3195503,100000000,4,1.4,7584.9,0.0,0,2486283,232254,118927,70889,287147,0
25,3140510,50000000,4,0.2,0.5,0.0,0,2332406,409344,156460,63835,178462,0
26,3133361,100000000,4,0.9,2.1,0.0,0,2107121,271167,174340,107203,473528,0
27,2695923,10000000,4,3.2,5.5,0.0,0,1922909,223625,133776,79762,335849,0
28,2670589,50000000,4,1082.3,1.0,0.0,0,1944649,272948,134237,69845,248907,0
29,2540439,10000000,4,0.1,0.2,0.0,0,1879504,251048,115871,60732,233281,0
30,2472561,100000000,4,0.3,0.7,0.0,0,1841035,284687,138333,56785,151718,0
31,2380639,50000000,4,0.2,0.3,0.0,0,1582549,267812,149090,73581,307605,0
32,2365838,50000000,4,0.1,0.2,0.0,0,1849560,211891,101452,42652,160281,0
33,2271977,50000000,4,0.4,0.9,0.0,0,1561779,253442,130615,65118,261021,0
34,2131549,10000000,4,0.1,0.2,0.0,0,1508264,249413,138706,48233,186930,0
35,2100984,100000000,4,3.1,6.7,0.0,0,1509125,187398,116123,66573,221763,0
36,2083413,10000000,4,0.1,0.1,0.0,0,1394048,187327,118080,65989,317967,0
37,2006745,100000000,4,0.9,1.6,0.0,0,1474331,212483,115682,53493,150754,0
