Название,Перевод,Описание,Тип данных,Система измерения,
total ratings,Итоговый рейтинг,Количество оценок за все время,Целочисленный,-,
installs,Установки,Количество установок за все время,Целочисленный,-,
average rating,Средний рейтинг,Средний рейтинг из всех оценок,Целочисленный,-,
growth (30 days),Рост (30 дней),Рост рейтинга за последние 30 дней,Число с плавующей точкой,-,
growth (60 days),Рост (60 дней),Рост рейтинга за последние 60 дней,Число с плавующей точкой,-,
price,Цена,Цена игры,Число с плавующей точкой,Доллары,
category,Категория,Категория игры (в данном случае получала ли она какие либо награды),Целочисленный,-,
5 star ratings,Рейтинг 5 звезд,Количество 5-тизвездочных оценок,Целочисленный,-,
4 star ratings,Рейтинг 4 звезды,Количество 4-тизвездочных оценок,Целочисленный,-,
3 star ratings,Рейтинг 3 звезды,Количество 3-тизвездочных оценок,Целочисленный,-,
2 star ratings,Рейтинг 2 звезды,Количество 2-тизвездочных оценок,Целочисленный,-,
1 star ratings,Рейтинг 1 звезда,Количество 1-тизвездочных оценок,Целочисленный,-,
paid,Оплачиваемая,"Показатель, обозначающий, является ли игра платной или бесплатной",Целочисленный,-,
