Название столбца,Пепревод,Описание,Тип данных,Единицы измерения,
Age,Возраст,Возраст пациента на момент поступления,Целочисленный,Год,
Gender,Пол,Указывает пол пациента,Целочисленный,-,
Blood Type,Тип крови,"Группа крови пациента, которая может быть одной из распространенных групп крови",Целочисленный,-,
Medical Condition,Медицинское заключение,"В этом столбце указывается основное медицинское состояние или диагноз, связанный с пациентом",Целочисленный,-,
Insurance Provider,Поставщик услуг страхования,"В этом столбце указывается страховая компания пациента, которая может быть одним из нескольких вариантов",Целочисленный,-,
Billing Amount,Сумма выставления счета,"Сумма денег, выставленная за медицинские услуги пациента во время его госпитализации.",Число с плавующей точкой,Валюта,
Room Number,Номер комнаты,"Номер палаты, в которой находился пациент во время его поступления",Целочисленный,-,
Admission Type,Тип допуска,Определяет тип допуска,Целочисленный,-,
Medication,Лечение,"Определяет лекарственное средство, назначенное или вводимое пациенту во время его приема",Целочисленный,-,
Test Results,Результаты тестирования,"Описывает результаты медицинского обследования, проведенного во время поступления пациента",Целочисленный,-,
Cluster,Кластеры,Номер кластера,Целочисленный,-,
