Название столбца,Перевод,Описание,Тип данных,Еидиница измерения,
id,Порядковый номер,Номер опухоли,Целочисленный,-,
diagnosis,Диагноз,Итоговый диагноз,Число с плавующей точкой,-,
texture_mean,Обозначение текстуры,На сколько текстура влияет на диагноз,Число с плавующей точкой,-,
smoothness_mean,Обозначение гладкости,На сколько гладкость влияет на диагноз,Число с плавующей точкой,-,
concave points_mean,Обозначение вогнутых точек,На сколько вогнутость точек влияет на диагноз,Число с плавующей точкой,-,
symmetry_mean,Значение симметрии,На сколько счимметрия влияет на диагноз,Число с плавующей точкой,-,
area_se,Стандартная ошибка размера опухоли,Стандартное отклонение от размеров,Число с плавующей точкой,-,
concavity_worst,Высокая вогнутость,На сколько влияет высокая вогнутость на диагноз,Число с плавующей точкой,-,
concave points_worst,Точки высокой вогнутости,Точки с высокой вогнутостью,Число с плавующей точкой,-,
claster,Кластеры,Группа кластеров,Целочисленный,-,
