,time,name_log,model_name,info
0,2026-01-29 03:02:13.912488,Обучение моделей,*,Обучение трех моделей
1,2026-01-29 03:02:19.824069,Сохранение модели,LogisticRegression,Сохранение модели в файл
2,2026-01-29 03:02:21.160445,Обучение моделей,*,Обучение трех моделей
3,2026-01-29 03:02:23.337692,Сохранение модели,LogisticRegression,Сохранение модели в файл
4,2026-01-29 03:02:28.470099,Обучение моделей,*,Обучение трех моделей
5,2026-01-29 03:02:31.976639,Сохранение модели,LogisticRegression,Сохранение модели в файл
6,2026-01-29 03:02:39.143044,Сохранение модели,LogisticRegression,Сохранение модели в файл
7,2026-01-29 03:02:48.513705,Обучение моделей,*,Обучение трех моделей
8,2026-01-29 03:02:49.914754,Сохранение модели,LogisticRegression,Сохранение модели в файл
9,2026-01-29 03:02:50.759104,Обучение моделей,*,Обучение трех моделей
10,2026-01-29 03:02:51.180759,Сохранение модели,LogisticRegression,Сохранение модели в файл
11,2026-01-29 03:02:52.113859,Обучение моделей,*,Обучение трех моделей
12,2026-01-29 03:02:53.057475,Сохранение модели,LogisticRegression,Сохранение модели в файл
